"Europa;Noord Europa;IJsland;Norður vestra;Skagafjarðarsýsla","(W 20 30 - W 18 15 /N 66 30 - N 64 45)","-18.25,64.75,-20.5,66.5",0,80.4.010.230
"Europa;Noord Europa;IJsland;Norður vestra;Sauðárkrókur","(W 19 41 - W 19 37 /N 65 47 - N 65 43)","-19.616666666667,65.716666666667,-19.683333333333,65.783333333333",0,80.4.010.240
"Europa;Noord Europa;IJsland;Norðurlan eystra","(W 19 - W 17 45 /N 66 30 - N 64 30)","-17.75,64.5,-19,66.5",0,80.4.010.300
"Europa;Noord Europa;IJsland;Norðurlan eystra;Eyjafjarðarsýsla","(W 19 - W 17 45 /N 66 30 - N 64 45)","-17.75,64.75,-19,66.5",0,80.4.010.310
"Europa;Noord Europa;IJsland;Norðurlan eystra;Suður-Þingeyjarsýsla","(W 18 45 - W 16 00 /N 66 30 - N 64 45)","-16,64.75,-18.75,66.5",0,80.4.010.320
"Europa;Noord Europa;IJsland;Norðurlan eystra;Norður-Þingeyjarsýsla","(W 17 15 - W 14 15 /N 66 40 - N 65 15)","-14.25,65.25,-17.25,66.666666666667",0,80.4.010.330
"Europa;Noord Europa;IJsland;Norðurlan eystra;Siglufjörður","(W 18 57 - W 18 53 /N 66 11 - N 66 07)","-18.883333333333,66.116666666667,-18.95,66.183333333333",0,80.4.010.340
"Europa;Noord Europa;IJsland;Norðurlan eystra;Ólafsfjörður","(W 18 32 - W 18 53 /N 66 07 - N 66 03)","-18.883333333333,66.05,-18.533333333333,66.116666666667",0,80.4.010.350
"Europa;Noord Europa;IJsland;Norðurlan eystra;Akureyri","(W 18 06 - W 18 02 /N 65 43 - N 65 39)","-18.033333333333,65.65,-18.1,65.716666666667",0,80.4.010.360
"Europa;Noord Europa;IJsland;Norðurlan eystra;Húsavík","(W 17 19 - W 17 15 /N 66 05 - N 66 01)","-17.25,66.016666666667,-17.316666666667,66.083333333333",0,80.4.010.370
"Europa;Noord Europa;IJsland;Ausurlan","(W 18 - W 13 /N 66 15 - N 64 30)","-13,64.5,-18,66.25",0,80.4.010.400
"Europa;Noord Europa;IJsland;Ausurlan;Norður-Múlasýsla","(W 17 - W 13 /N 66 15 - N 64 30)","-13,64.5,-17,66.25",0,80.4.010.410
"Europa;Noord Europa;IJsland;Ausurlan;Suður-Múlasýsla","(W 15 15 - W 13 /n 65 30 - N 64 15)","-13,64.25,-15.25,-1.0833333333333",0,80.4.010.420
"Europa;Noord Europa;IJsland;Ausurlan;Austur-Skaftafellsýsla","(W 17 30 - W 14 15 /N 64 45 - N 63 30)","-14.25,63.5,-17.5,64.75",0,80.4.010.430
"Europa;Noord Europa;IJsland;Ausurlan;Seyðisfjörður","(W 14 04 - W 14 00 /N 65 08 - N 65 14)","-14,65.233333333333,-14.066666666667,65.133333333333",0,80.4.010.440
"Europa;Noord Europa;IJsland;Ausurlan;Neskaupstaðúr","(W 13 45 - W 13 41 /N 65 12 - N 65 08)","-13.683333333333,65.133333333333,-13.75,65.2",0,80.4.010.450
"Europa;Noord Europa;IJsland;Suðurland","(W 22 - W 17 /N 65 - N 63 15)","-17,63.25,-22,65",0,80.4.010.500
"Europa;Noord Europa;IJsland;Suðurland;Vestur-Skaftafellssýsla","(W 19 30 - W 17 15 /N 64 45 - N 63 15)","-17.25,63.25,-19.5,64.75",0,80.4.010.510
"Europa;Noord Europa;IJsland;Suðurland;Ragnárvallasýsla","(W 21 - W 18 15 /N 64 45 - N 63 30)","-18.25,63.5,-21,64.75",0,80.4.010.520
"Europa;Noord Europa;IJsland;Suðurland;Árnessýsla","(W 22 - W 18 15 /N 64 45 - N 63 45)","-18.25,63.75,-22,64.75",0,80.4.010.530
"Europa;Noord Europa;IJsland;Suðurland;Vestmannaeyjar","(W 20 17 - W 20 13 /N 63 27 - N 63 23)","-20.216666666667,63.383333333333,-20.283333333333,63.45",0,80.4.010.540
"Europa;Noord Europa;IJsland;Rekjavíkurvaedhi og Reykjanessvædhi ","(W 23 - W 20 /N 65 - N 63 30)","-20,63.5,-23,65",0,80.4.010.600
"Europa;Noord Europa;IJsland;Rekjavíkurvaedhi og Reykjanessvædhi ;Gullbringusýsla","(W 23 30 - W 21 30 /N 64 15 - N 63 30)","-21.5,63.5,-23.5,64.25",0,80.4.010.610
"Europa;Noord Europa;IJsland;Rekjavíkurvaedhi og Reykjanessvædhi ;Kjósarsýsla","(W 23 - W 21 /N 64 30 - N 64 00)","-21,64,-23,64.5",0,80.4.010.620
"Europa;Noord Europa;IJsland;Rekjavíkurvaedhi og Reykjanessvædhi ;Keflavík","(W 22 37 - W 22 33 /N 64 03 - N63 59)","-22.55,N63 59,-22.616666666667,64.05",0,80.4.010.630
